Epochs,learning-rate
0.2,8.33333E-05
0.4,0.000166667
0.6,0.00025
0.8,0.000247422
1,0.000244844
1.2,0.000242266
1.4,0.000239687
1.6,0.000237109
1.8,0.000234531
2,0.000231953
2.2,0.000229375
2.4,0.000226797
2.6,0.000224218
2.8,0.00022164
3,0.000219062
3.2,0.000216484
3.4,0.000213906
3.6,0.000211328
3.8,0.00020875
4,0.000206171
4.2,0.000203593
4.4,0.000201015
4.6,0.000198437
4.8,0.000195859
5,0.000193281
5.2,0.000190702
5.4,0.000188124
5.6,0.000185546
5.8,0.000182968
6,0.00018039
6.2,0.000177812
6.4,0.000175234
6.6,0.000172655
6.8,0.000170077
7,0.000167499
7.2,0.000164921
7.4,0.000162343
7.6,0.000159765
7.8,0.000157186
8,0.000154608
8.2,0.00015203
8.4,0.000149452
8.6,0.000146874
8.8,0.000144296
9,0.000141718
9.2,0.000139139
9.4,0.000136561
9.6,0.000133983
9.8,0.000131405
10,0.000128827
10.2,0.000126249
10.4,0.000123671
10.6,0.000121092
10.8,0.000118514
11,0.000115936
11.2,0.000113358
11.4,0.00011078
11.6,0.000108202
11.8,0.000105623
12,0.000103045
12.2,0.000100467
12.4,9.7889E-05
12.6,9.53108E-05
12.8,9.27327E-05
13,9.01545E-05
13.2,8.75764E-05
13.4,8.49982E-05
13.6,8.24201E-05
13.8,7.98419E-05
14,7.72638E-05
14.2,7.46856E-05
14.4,7.21075E-05
14.6,6.95293E-05
14.8,6.69512E-05
15,6.4373E-05
15.2,6.17948E-05
15.4,5.92167E-05
15.6,5.66385E-05
15.8,5.40604E-05
16.01,5.14822E-05
16.21,4.89041E-05
16.41,4.63259E-05
16.61,4.37478E-05
16.81,4.11696E-05
17.01,3.85915E-05
17.21,3.60133E-05
17.41,3.34352E-05
17.61,3.0857E-05
17.81,2.82789E-05
18.01,2.57007E-05
18.21,2.31226E-05
18.41,2.05444E-05
18.61,1.79662E-05
18.81,1.53881E-05
19.01,1.28099E-05
19.21,1.02318E-05
19.41,7.65364E-06
19.61,5.07549E-06
19.81,2.49733E-06
